"id","utmlong","utmlat","ESTtime","dx","dy","dist","dt","R2n","abs.angle","rel.angle"
"1",567079,2948625,2016-07-08 05:00:00,16,0,16,3600,1210,0,3.14159265358979
"1",567095,2948625,2016-07-08 06:00:00,-1,-2,2.23606797749979,3600,410,-2.0344439357957,-2.0344439357957
"1",567094,2948623,2016-07-08 07:00:00,0,5,5,3600,405,1.5707963267949,-2.67794504458899
"1",567094,2948628,2016-07-08 08:00:00,0,4,4,3600,520,1.5707963267949,0
"1",567094,2948632,2016-07-08 09:00:00,0,4,4,3600,648,1.5707963267949,0
"1",567094,2948636,2016-07-08 10:00:00,91,-46,101.965680500843,3600,808,-0.468033545789598,-2.03882987258449
"1",567185,2948590,2016-07-08 11:00:00,-111,68,130.172961862285,3600,5905,2.59195075339475,3.05998429918434
"1",567074,2948658,2016-07-08 12:00:00,80,-122,145.890369798695,3600,3380,-0.990398139401022,2.70083641438382
"1",567154,2948536,2016-07-08 13:00:00,104,82,132.438665049146,3600,7848,0.667665588593355,1.65806372799438
"1",567258,2948618,2016-07-08 14:00:00,-188,18,188.859736312428,3600,21332,3.04613893925708,2.37847335066372
"1",567070,2948636,2016-07-08 15:00:00,29,-26,38.9486841883009,3600,2248,-0.730906707156717,2.50613966076579
"1",567099,2948610,2016-07-08 16:00:00,-17,31,35.3553390593274,32400,185,2.07240038098402,2.80330708814073
"1",567082,2948641,2016-07-09 01:00:00,0,-2,2,3600,1629,-1.5707963267949,2.63998859940067
"1",567082,2948639,2016-07-09 02:00:00,-13,-9,15.8113883008419,7200,1525,-2.53604798998482,-0.965251663189927
"1",567069,2948630,2016-07-09 04:00:00,10,11,14.8660687473185,7200,2105,0.832981266674432,-2.91415605052033
"1",567079,2948641,2016-07-09 06:00:00,-4,0,4,7200,1818,3.14159265358979,2.30861138691536
"1",567075,2948641,2016-07-09 08:00:00,55,-16,57.2800139664787,7200,2098,-0.283095785299496,2.8584968682903
"1",567130,2948625,2016-07-09 10:00:00,-28,7,28.8617393793236,7200,445,2.89661399046293,-3.10347553141716
"1",567102,2948632,2016-07-09 12:00:00,-7,-2,7.28010988928052,7200,424,-2.86329299458468,0.523278322131976
"1",567095,2948630,2016-07-09 14:00:00,12,2,12.1655250605964,7200,545,0.165148677414627,3.02844167199931
"1",567107,2948632,2016-07-09 16:00:00,-20,0,20,32400,349,3.14159265358979,2.97644397617517
"1",567087,2948632,2016-07-10 01:00:00,2,4,4.47213595499958,3600,949,1.10714871779409,-2.0344439357957
"1",567089,2948636,2016-07-10 02:00:00,-5,2,5.3851648071345,7200,1013,2.76108627647743,1.65393755868334
"1",567084,2948638,2016-07-10 04:00:00,-2,-2,2.82842712474619,7200,1360,-2.35619449019234,1.16590454050981
"1",567082,2948636,2016-07-10 06:00:00,5,-10,11.1803398874989,7200,1384,-1.10714871779409,1.24904577239825
"1",567087,2948626,2016-07-10 08:00:00,13,14,19.1049731745428,7200,769,0.822418279271378,1.92956699706547
"1",567100,2948640,2016-07-10 10:00:00,2,-17,17.1172427686237,7200,820,-1.45368758222803,-2.27610586149941
"1",567102,2948623,2016-07-10 12:00:00,7,-17,18.3847763108502,7200,181,-1.18018928309721,0.273498299130823
"1",567109,2948606,2016-07-10 14:00:00,-19,26,32.2024843762092,7200,73,2.20187571426623,-2.90112030981615
"1",567090,2948632,2016-07-10 16:00:00,0,-4,4,32400,808,-1.5707963267949,2.51051326611846
"1",567090,2948628,2016-07-11 01:00:00,7,-3,7.61577310586391,3600,680,-0.404891786285083,1.16590454050981
"1",567097,2948625,2016-07-11 02:00:00,-12,-4,12.6491106406735,7260,346,-2.81984209919315,-2.41495031290807
"1",567085,2948621,2016-07-11 04:01:00,-1,4,4.12310562561766,7140,778,1.81577498992176,-1.64756821806467
"1",567084,2948625,2016-07-11 06:00:00,25,-8,26.2488094968134,7200,905,-0.309702944542456,-2.12547793446422
"1",567109,2948617,2016-07-11 08:00:00,-78,6,78.2304288624318,7200,18,3.06482076232002,-2.90866160031711
"1",567031,2948623,2016-07-11 10:00:00,56,26,61.7413961617325,7200,6642,0.434670215149245,-2.63015054717077
"1",567087,2948649,2016-07-11 12:00:00,25,-8,26.2488094968134,7200,1850,-0.309702944542456,-0.744373159691701
"1",567112,2948641,2016-07-11 14:00:00,-32,-11,33.8378486313773,7200,729,-2.81049657688566,-2.5007936323432
"1",567080,2948630,2016-07-11 16:00:00,-5,11,12.0830459735946,32400,1280,1.99742381992177,-1.47526491037215
"1",567075,2948641,2016-07-12 01:00:00,2,-3,3.60555127546399,3600,2098,-0.982793723247329,-2.9802175431691
"1",567077,2948638,2016-07-12 02:00:00,-23,-4,23.3452350598575,7200,1801,-2.96940183906685,-1.98660811581953
"1",567054,2948634,2016-07-12 04:00:00,15,11,18.6010752377383,7200,3764,0.632748835002183,-2.68103463311055
"1",567069,2948645,2016-07-12 06:00:00,18,-15,23.43074902772,7200,2810,-0.694738276196703,-1.32748711119889
"1",567087,2948630,2016-07-12 08:00:00,15,-2,15.1327459504216,7200,881,-0.132551532296674,0.562186743900029
"1",567102,2948628,2016-07-12 10:00:00,-5,-46,46.2709412050371,7200,296,-1.67906691765535,-1.54651538535868
"1",567097,2948582,2016-07-12 12:00:00,-18,35,39.3573373083089,7200,1249,2.04580708305999,-2.55831130646424
"1",567079,2948617,2016-07-12 14:00:00,-2,9,9.21954445729289,7200,1098,1.78946527266884,-0.256341810391155
"1",567077,2948626,2016-07-12 16:00:00,-17,37,40.7185461430047,32400,1369,2.0014888381814,0.212023565512566
"1",567060,2948663,2016-07-13 01:00:00,2,0,2,3600,5105,0,-2.0014888381814
"1",567062,2948663,2016-07-13 02:00:00,-8,-15,17,7200,4901,-2.06075365304863,-2.06075365304863
"1",567054,2948648,2016-07-13 04:00:00,8,15,17,7200,4520,1.08083900054117,3.14159265358979
"1",567062,2948663,2016-07-13 06:00:00,15,-105,106.066017177982,7200,4901,-1.42889927219073,-2.5097382727319
"1",567077,2948558,2016-07-13 08:00:00,-129,82,152.85614151875,7200,4361,2.57536519217069,-2.27892084281816
"1",566948,2948640,2016-07-13 10:00:00,23,-22,31.8276609256791,7200,27572,-0.763179598070729,2.94464051693816
"1",566971,2948618,2016-07-13 12:00:00,116,-12,116.619037896906,7200,19897,-0.1030816085227,0.660097989548029
"1",567087,2948606,2016-07-13 14:00:00,17,-7,18.3847763108502,7200,689,-0.390607043697687,-0.287525435174987
"1",567104,2948599,2016-07-13 16:00:00,-39,25,46.3249392876019,32400,289,2.57155218989008,2.96215923358777
"1",567065,2948624,2016-07-14 01:00:00,5,-5,7.07106781186548,3600,2309,-0.785398163397448,2.92623495389206
"1",567070,2948619,2016-07-14 02:00:00,-13,2,13.1529464379659,7200,1789,2.98894332519453,-2.50884381858761
"1",567057,2948621,2016-07-14 04:00:00,7,3,7.61577310586391,7200,3074,0.404891786285083,-2.58405153890944
"1",567064,2948624,2016-07-14 06:00:00,118,-106,158.619040471187,7200,2404,-0.731877894938133,-1.13676968122322
"1",567182,2948518,2016-07-14 08:00:00,-70,35,78.2623792124926,7200,14116,2.67794504458899,-2.87336236765247
"1",567112,2948553,2016-07-14 10:00:00,14,4,14.560219778561,7200,3721,0.278299659005111,-2.39964538558388
"1",567126,2948557,2016-07-14 12:00:00,-17,73,74.953318805774,7200,3445,1.79959517218212,1.52129551317701
"1",567109,2948630,2016-07-14 14:00:00,-10,-22,24.1660919471891,7200,265,-1.99742381992177,2.48616631507569
"1",567099,2948608,2016-07-14 16:00:00,-34,15,37.1618083521241,32400,205,2.7261005576489,-1.55966092960891
"1",567065,2948623,2016-07-15 01:00:00,1,-6,6.08276253029822,3600,2290,-1.40564764938027,2.15143710015041
"1",567066,2948617,2016-07-15 02:00:00,-12,-9,15,7200,2125,-2.49809154479651,-1.09244389541624
"1",567054,2948608,2016-07-15 04:00:00,25,11,27.3130005674953,7200,3400,0.414506874584786,2.91259841938129
"1",567079,2948619,2016-07-15 06:00:00,-12,-57,58.2494635168428,7200,1114,-1.7782925532301,-2.19279942781489
"1",567067,2948562,2016-07-15 08:00:00,52,-4,52.1536192416212,7200,4729,-0.076771891269778,1.70152066196032
"1",567119,2948558,2016-07-15 10:00:00,41,6,41.4366987102013,7200,3185,0.145310010635702,0.22208190190548
"1",567160,2948564,2016-07-15 12:00:00,-6,-5,7.81024967590665,7200,4804,-2.44685437739309,-2.59216438802879
"1",567154,2948559,2016-07-15 14:00:00,-33,-6,33.5410196624968,7200,4789,-2.96173915379732,-0.514884776404225
"1",567121,2948553,2016-07-15 16:00:00,-36,81,88.6397202161649,32400,3802,1.98902065637413,-1.33242549700815
"1",567085,2948634,2016-07-16 01:00:00,2,2,2.82842712474619,3600,1129,0.785398163397448,-1.20362249297668
"1",567087,2948636,2016-07-16 02:00:00,-5,2,5.3851648071345,7200,1109,2.76108627647743,1.97568811307998
"1",567082,2948638,2016-07-16 04:00:00,3,0,3,7200,1476,0,-2.76108627647743
"1",567085,2948638,2016-07-16 06:00:00,51,-128,137.786066058945,7200,1305,-1.19163765776145,-1.19163765776145
"1",567136,2948510,2016-07-16 08:00:00,44,69,81.8352002502591,7200,11392,1.00312990242302,2.19476756018447
"1",567180,2948579,2016-07-16 10:00:00,-53,-21,57.0087712549569,7200,5849,-2.76434359394743,2.51571181080913
"1",567127,2948558,2016-07-16 12:00:00,57,-7,57.4282160614449,7200,3361,-0.122195170691355,2.64214842325608
"1",567184,2948551,2016-07-16 14:00:00,-1,22,22.0227155455452,7200,9153,1.61621960621647,1.73841477690783
"1",567183,2948573,2016-07-16 16:00:00,-112,18,113.437207299898,32400,6722,2.98224101268588,1.3660214064694
"1",567071,2948591,2016-07-17 01:00:00,14,35,37.6961536499415,3600,2210,1.19028994968253,-1.79195106300334
"1",567085,2948626,2016-07-17 02:00:00,-24,-7,25,7200,873,-2.85779854438147,2.23509681311559
"1",567061,2948619,2016-07-17 04:00:00,1,7,7.07106781186548,7200,2626,1.42889927219073,-1.99648749060739
"1",567062,2948626,2016-07-17 06:00:00,17,10,19.723082923316,7200,2644,0.531724067258806,-0.897175204931927
